station_id,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,is_charging_station,nearby_distance,_ride_code_support,rental_uris
145,"C/ PERE IV,  301 / FLUVIÀ",ELECTRICBIKESTATION,41.4093405,2.2024461,4.0,"C/ PERE IV,  301 / FLUVIÀ",08020,27,True,1000.0,True,
146,"C/ PERE IV, 488",ELECTRICBIKESTATION,41.4148983,2.207186,4.0,"C/ PERE IV, 488",08019,24,True,1000.0,True,
147,"RAMBLA PRIM, 79",ELECTRICBIKESTATION,41.416043,2.2124993,5.0,"RAMBLA PRIM, 79",08019,33,True,1000.0,True,
148,"RONDA SANT PAU, 79",ELECTRICBIKESTATION,41.3783467,2.1633139,12.0,"RONDA SANT PAU, 79",08015,27,True,1000.0,True,
149,"C/ PUJADES, 57B",ELECTRICBIKESTATION,41.3958685,2.192952,4.0,"C/ PUJADES, 57B",08019,27,True,1000.0,True,
150,"C/ ESPRONCEDA, 124",ELECTRICBIKESTATION,41.4065912,2.203028,4.0,"C/ ESPRONCEDA, 124",08005,27,True,1000.0,True,
151,"C/ PALLARS, 182",ELECTRICBIKESTATION,41.4003471,2.1969105,3.0,"C/ PALLARS, 182",08005,27,True,1000.0,True,
152,"C/ PUJADES, 121",ELECTRICBIKESTATION,41.3993329,2.1974184,3.0,"C/ PUJADES, 121",08005,27,True,1000.0,True,
153,"C/ PUJADES, 173/RBLA POBLE NOU",ELECTRICBIKESTATION,41.4018686,2.20077,3.0,"C/ PUJADES, 173/RBLA POBLE NOU",08005,23,True,1000.0,True,
154,"C/ PUJADES, 191",ELECTRICBIKESTATION,41.4026275,2.2017694,2.0,"C/ PUJADES, 191",08005,32,True,1000.0,True,
155,"C/ PUJADES, 311/ FLUVIÀ",ELECTRICBIKESTATION,41.4070139,2.2074469,4.0,"C/ PUJADES, 311/ FLUVIÀ",08019,32,True,1000.0,True,
156,"C/ SELVA DE MAR, 46",ELECTRICBIKESTATION,41.4091355,2.2088179,4.0,"C/ SELVA DE MAR, 46",08019,27,True,1000.0,True,
157,"C/ LLULL, 465",ELECTRICBIKESTATION,41.4132316,2.2177652,4.0,"C/ LLULL, 465",08019,33,True,1000.0,True,
158,"RAMBLA DE PRIM, 19",ELECTRICBIKESTATION,41.4116634,2.2183313,4.0,"RAMBLA DE PRIM, 19",08019,27,True,1000.0,True,
159,"AV. DIAGONAL, 26",ELECTRICBIKESTATION,41.4110822,2.2163136,4.0,"AV. DIAGONAL, 26",08019,32,True,1000.0,True,
161,"C/ RAMON TURRÓ, 91",ELECTRICBIKESTATION,41.3953011,2.1965965,4.0,"C/ RAMON TURRÓ, 91",08005,27,True,1000.0,True,
162,"C/ RAMON TURRÓ, 292",ELECTRICBIKESTATION,41.4038559,2.2084257,3.0,"C/ RAMON TURRÓ, 292",08005,27,True,1000.0,True,
